### task_name: narma
### 10 0
### input_signal_factor [0.1, 0.6]
function_name,seed,unit_size,p,input_singal_factor,input_gain,feed_gain,lm,train_nmse,nmse,test_nmse
mackey100,0,100,0.0000,0.1000,0.2200,0.8200,0.0000,0.99474415,1.01239881,0.99523003
mackey100,0,100,0.1000,0.3000,0.2800,0.8200,0.0000,0.18596896,0.18661644,0.18067933
mackey100,0,100,0.2000,0.1500,0.2600,0.8200,0.0000,0.16370961,0.15612566,0.16160309
mackey100,0,100,0.3000,0.1500,0.2400,0.8200,0.0000,0.15577719,0.14843578,0.15537420
mackey100,0,100,0.4000,0.1500,0.2600,0.8200,0.0000,0.15113067,0.14481580,0.15519082
mackey100,0,100,0.5000,0.1500,0.2200,0.8200,0.0000,0.15480790,0.14875307,0.16097530
mackey100,0,100,0.6000,0.1000,0.3000,0.8200,0.0000,0.14826089,0.14538228,0.15572692
mackey100,0,100,0.7000,0.1500,0.2400,0.8400,0.0000,0.14616653,0.14612226,0.15815488
mackey100,0,100,0.8000,0.1500,0.2400,0.8600,0.0000,0.14637173,0.14769438,0.16000561
mackey100,0,100,0.9000,0.1000,0.2800,0.8800,0.0000,0.15238076,0.15127557,0.16156720
mackey100,0,100,1.0000,0.1000,0.2400,0.8800,0.0000,0.15371219,0.15016369,0.15826731
mackey100,1,100,0.0000,0.1000,0.2200,0.8200,0.0000,0.99474415,1.01239881,0.99523003
mackey100,1,100,0.1000,0.1500,0.2800,0.8200,0.0000,0.18572744,0.17794781,0.17628335
mackey100,1,100,0.2000,0.2000,0.2400,0.8200,0.0000,0.17957439,0.16990646,0.17387211
mackey100,1,100,0.3000,0.1500,0.2800,0.8200,0.0000,0.16471212,0.15391473,0.16133200
mackey100,1,100,0.4000,0.2000,0.2400,0.8200,0.0000,0.16183465,0.15091641,0.16043572
mackey100,1,100,0.5000,0.3500,0.2200,0.8200,0.0000,0.15581581,0.15093163,0.16049477
mackey100,1,100,0.6000,0.2000,0.2600,0.8200,0.0000,0.15893073,0.15504033,0.16387597
mackey100,1,100,0.7000,0.1500,0.2800,0.8800,0.0000,0.15867521,0.15367822,0.16506545
mackey100,1,100,0.8000,0.1500,0.2200,0.9000,0.0000,0.15946320,0.15169888,0.16208537
mackey100,1,100,0.9000,0.1000,0.2600,0.9000,0.0000,0.15028282,0.14610159,0.15158645
mackey100,1,100,1.0000,0.1000,0.2600,0.9000,0.0000,0.15244998,0.14793088,0.15576875
mackey100,2,100,0.0000,0.1000,0.2200,0.8200,0.0000,0.99474415,1.01239881,0.99523003
mackey100,2,100,0.1000,0.3500,0.2200,0.8200,0.0000,0.18701836,0.18295114,0.17909081
mackey100,2,100,0.2000,0.1500,0.2400,0.8200,0.0000,0.18112877,0.17099863,0.17526692
mackey100,2,100,0.3000,0.1500,0.2800,0.8200,0.0000,0.16416355,0.15509105,0.16533947
mackey100,2,100,0.4000,0.1500,0.2800,0.8200,0.0000,0.16555446,0.15913510,0.17007787
mackey100,2,100,0.5000,0.1500,0.2400,0.8600,0.0000,0.16178511,0.15533501,0.16519185
mackey100,2,100,0.6000,0.1500,0.2200,0.8600,0.0000,0.15944195,0.14895449,0.16345934
mackey100,2,100,0.7000,0.1500,0.2600,0.8600,0.0000,0.15934649,0.15018635,0.16474419
mackey100,2,100,0.8000,0.1000,0.2800,0.8600,0.0000,0.16139592,0.15511226,0.16649195
mackey100,2,100,0.9000,0.1000,0.2400,0.8800,0.0000,0.16254515,0.15702778,0.16818243
mackey100,2,100,1.0000,0.1000,0.2200,0.8600,0.0000,0.16220412,0.15827324,0.16781600
