### task_name: narma
### 10 0
### input_signal_factor [0.3, 0.4]
function_name,seed,unit_size,p,input_singal_factor,input_gain,feed_gain,lm,train_nmse,nmse,test_nmse
mackey300,0,300,0.0000,0.3900,0.5500,1.1000,0.0000,0.12910190,0.12469944,0.13806861
mackey300,0,300,0.1000,0.4000,0.5500,1.1000,0.0000,0.12614388,0.12748642,0.14166310
mackey300,0,300,0.2000,0.3600,0.5500,1.1000,0.0000,0.12546337,0.12365190,0.13622038
mackey300,0,300,0.3000,0.3200,0.6000,1.1000,0.0000,0.12899772,0.12280224,0.13518542
mackey300,0,300,0.4000,0.3700,0.6500,1.1000,0.0000,0.12701999,0.12260158,0.14019072
mackey300,0,300,0.5000,0.3900,0.5000,1.1000,0.0000,0.12842404,0.12448518,0.13665691
mackey300,0,300,0.6000,0.3900,0.5000,1.1000,0.0000,0.12637245,0.12368853,0.13705075
mackey300,0,300,0.7000,0.3900,0.6000,1.1000,0.0000,0.12587860,0.12517421,0.14150732
mackey300,0,300,0.8000,0.3600,0.6500,1.1000,0.0000,0.12195264,0.12173536,0.13366912
mackey300,0,300,0.9000,0.3700,0.5500,1.1000,0.0000,0.12630806,0.12608863,0.13936007
mackey300,0,300,1.0000,0.3000,0.5500,1.0500,0.0000,0.13059459,0.12631066,0.13854842
mackey300,1,300,0.0000,0.4000,0.6500,1.1000,0.0000,0.12442353,0.12307320,0.13744755
mackey300,1,300,0.1000,0.3300,0.5000,1.1000,0.0000,0.12701375,0.12559033,0.13524486
mackey300,1,300,0.2000,0.3400,0.7000,1.1000,0.0000,0.12597533,0.12563324,0.13771651
mackey300,1,300,0.3000,0.3600,0.5500,1.1000,0.0000,0.12516931,0.12319049,0.13560680
mackey300,1,300,0.4000,0.3800,0.5000,1.1000,0.0000,0.12233883,0.12474154,0.13596115
mackey300,1,300,0.5000,0.3100,0.5000,1.1000,0.0000,0.12563273,0.12301404,0.13534273
mackey300,1,300,0.6000,0.3900,0.6000,1.1000,0.0000,0.12643439,0.12315087,0.13700903
mackey300,1,300,0.7000,0.3500,0.5000,1.1000,0.0000,0.12318165,0.12116623,0.13601428
mackey300,1,300,0.8000,0.3800,0.5500,1.1000,0.0000,0.12430745,0.12462004,0.13682581
mackey300,1,300,0.9000,0.3700,0.7000,1.1000,0.0000,0.12429611,0.12304205,0.13651321
mackey300,1,300,1.0000,0.3100,0.5000,1.1000,0.0000,0.12783933,0.12375468,0.13691099
mackey300,2,300,0.0000,0.3500,0.6500,1.1000,0.0000,0.12651906,0.12215672,0.13868623
mackey300,2,300,0.1000,0.4000,0.6500,1.1000,0.0000,0.12222734,0.12135228,0.13420187
mackey300,2,300,0.2000,0.3200,0.7000,1.1000,0.0000,0.12479272,0.12275970,0.13535919
mackey300,2,300,0.3000,0.3600,0.6000,1.1000,0.0000,0.12603666,0.12431605,0.13745674
mackey300,2,300,0.4000,0.3500,0.7000,1.1000,0.0000,0.12840122,0.12577506,0.13905122
mackey300,2,300,0.5000,0.3400,0.5500,1.1000,0.0000,0.12682049,0.12770384,0.14009305
mackey300,2,300,0.6000,0.3900,0.5000,1.1000,0.0000,0.12367071,0.12208150,0.13394475
mackey300,2,300,0.7000,0.3800,0.6500,1.1000,0.0000,0.12322694,0.12359900,0.13689101
mackey300,2,300,0.8000,0.3900,0.5500,1.1000,0.0000,0.12661572,0.12639790,0.13960386
mackey300,2,300,0.9000,0.3800,0.7000,1.1000,0.0000,0.12685094,0.12653097,0.14142650
mackey300,2,300,1.0000,0.3400,0.5500,1.1000,0.0000,0.12809160,0.12437125,0.13673026
