t,unit,input,output
500,1,-0.402568,0.753945
500,2,-0.048724,0.996099
500,3,0.564872,0.551845
500,4,0.617943,0.617943
500,5,-1.20244,-1.20244
500,6,-0.294678,0.863159
500,7,0.840081,0.840081
500,8,-0.920604,-0.920604
500,9,1.33674,1.33674
500,10,-0.617,-0.617
500,11,-0.550145,-0.550145
500,12,0.490393,0.490393
500,13,-0.358606,-0.358606
500,14,1.13611,-0.116187
500,15,-0.711983,-0.711983
500,16,-1.31211,-1.31211
500,17,0.639841,0.450242
500,18,1.11715,-0.102514
500,19,-0.368361,0.791277
500,20,1.06032,1.06032
501,1,-0.407493,0.748387
501,2,-0.0541675,0.995181
501,3,0.564115,0.552856
501,4,0.617866,0.617866
501,5,-1.20759,-1.20759
501,6,-0.292332,0.865238
501,7,0.83631,0.83631
501,8,-0.921974,-0.921974
501,9,1.33033,1.33033
501,10,-0.612901,-0.612901
501,11,-0.550165,-0.550165
501,12,0.488313,0.488313
501,13,-0.352601,-0.352601
501,14,1.13105,-0.112618
501,15,-0.707471,-0.707471
501,16,-1.31895,-1.31895
501,17,0.644084,0.444434
501,18,1.11305,-0.0994466
501,19,-0.369015,0.790585
501,20,1.06246,1.06246
502,1,-0.401834,0.75477
502,2,-0.0485584,0.996126
502,3,0.567353,0.548531
502,4,0.619564,0.619564
502,5,-1.20118,-1.20118
502,6,-0.295335,0.862575
502,7,0.840083,0.840083
502,8,-0.919794,-0.919794
502,9,1.33664,1.33664
502,10,-0.618062,-0.618062
502,11,-0.548005,-0.548005
502,12,0.492232,0.492232
502,13,-0.358828,-0.358828
502,14,1.13684,-0.116694
502,15,-0.71212,-0.71212
502,16,-1.31195,-1.31195
502,17,0.639677,0.450466
502,18,1.11709,-0.10247
502,19,-0.370373,0.789146
502,20,1.05844,1.05844
503,1,-0.404344,0.751946
503,2,-0.0512557,0.995684
503,3,0.56878,0.546622
503,4,0.621606,0.621606
503,5,-1.20368,-1.20368
503,6,-0.295177,0.862715
503,7,0.838476,0.838476
503,8,-0.918955,-0.918955
503,9,1.33307,1.33307
503,10,-0.616186,-0.616186
503,11,-0.546007,-0.546007
503,12,0.492614,0.492614
503,13,-0.355268,-0.355268
503,14,1.1342,-0.11485
503,15,-0.709951,-0.709951
503,16,-1.31574,-1.31574
503,17,0.641426,0.448073
503,18,1.11528,-0.101116
503,19,-0.372401,0.78699
503,20,1.05821,1.05821
