t,unit,output
500,1,0.160823
500,2,0.159847
500,3,0.158935
500,4,0.170527
500,5,0.168661
500,6,0.15532
500,7,0.153921
500,8,0.152726
500,9,0.151683
500,10,0.150751
500,11,0.149898
500,12,0.149099
500,13,0.153152
500,14,0.151202
500,15,0.163785
500,16,0.16213
500,17,0.160612
500,18,0.159211
500,19,0.152325
500,20,0.152665
500,21,0.140697
500,22,0.14097
500,23,0.141149
500,24,0.141246
500,25,0.141269
500,26,0.141229
500,27,0.141132
500,28,0.140988
500,29,0.130295
500,30,0.118855
500,31,0.110306
500,32,0.10733
500,33,0.0997419
500,34,0.102116
500,35,0.104225
500,36,0.101905
500,37,0.0931092
500,38,0.097001
500,39,0.100317
500,40,0.103147
500,41,0.095998
500,42,0.0896229
500,43,0.107953
500,44,0.123961
500,45,0.124635
500,46,0.125293
500,47,0.114323
500,48,0.115862
500,49,0.117218
500,50,0.108802
500,51,0.101278
500,52,0.0945555
500,53,0.0957557
500,54,0.103864
500,55,0.103819
500,56,0.111087
500,57,0.110072
500,58,0.109405
500,59,0.126032
500,60,0.125558
500,61,0.125233
500,62,0.125023
500,63,0.124903
500,64,0.124854
500,65,0.113878
500,66,0.129913
500,67,0.125571
500,68,0.127834
500,69,0.129692
500,70,0.131224
500,71,0.119808
500,72,0.110965
500,73,0.113017
500,74,0.10317
500,75,0.105735
500,76,0.107966
500,77,0.105415
500,78,0.0978829
500,79,0.101086
500,80,0.103902
500,81,0.1203
500,82,0.121452
500,83,0.136727
500,84,0.137618
500,85,0.142841
500,86,0.142296
500,87,0.141906
500,88,0.141644
500,89,0.141488
500,90,0.141419
500,91,0.130675
500,92,0.145136
500,93,0.145121
500,94,0.145158
500,95,0.145236
500,96,0.158035
500,97,0.157067
500,98,0.156298
500,99,0.155687
500,100,0.149214
501,1,0.150269
501,2,0.15114
501,3,0.151849
501,4,0.150481
501,5,0.152134
501,6,0.139886
501,7,0.141162
501,8,0.142213
501,9,0.143074
501,10,0.143772
501,11,0.144329
501,12,0.144762
501,13,0.134042
501,14,0.135602
501,15,0.149559
501,16,0.150702
501,17,0.151603
501,18,0.152294
501,19,0.164201
501,20,0.163152
501,21,0.150094
501,22,0.149264
501,23,0.148527
501,24,0.147865
501,25,0.147265
501,26,0.146716
501,27,0.146209
501,28,0.145734
501,29,0.134402
501,30,0.134802
501,31,0.124751
501,32,0.139675
501,33,0.129341
501,34,0.126866
501,35,0.124808
501,36,0.139781
501,37,0.138994
501,38,0.135176
501,39,0.132007
501,40,0.129383
501,41,0.120043
501,42,0.111651
501,43,0.128275
501,44,0.127792
501,45,0.127505
501,46,0.127304
501,47,0.128226
501,48,0.127102
501,49,0.126203
501,50,0.116957
501,51,0.108665
501,52,0.10123
501,53,0.100733
501,54,0.0948356
501,55,0.0956523
501,56,0.0900905
501,57,0.091907
501,58,0.0934978
501,59,0.111631
501,60,0.112897
501,61,0.114018
501,62,0.115019
501,63,0.115917
501,64,0.11673
501,65,0.118601
501,66,0.134419
501,67,0.148268
501,68,0.14641
501,69,0.14489
501,70,0.143648
501,71,0.143233
501,72,0.132406
501,73,0.130644
501,74,0.130959
501,75,0.128666
501,76,0.126784
501,77,0.141543
501,78,0.131068
501,79,0.128342
501,80,0.12612
501,81,0.125735
501,82,0.125346
501,83,0.140492
501,84,0.140231
501,85,0.130086
501,86,0.131196
501,87,0.132169
501,88,0.133031
501,89,0.133799
501,90,0.134492
501,91,0.124177
501,92,0.139353
501,93,0.139878
501,94,0.140358
501,95,0.140801
501,96,0.140099
501,97,0.141641
501,98,0.142974
501,99,0.144129
501,100,0.156817
502,1,0.156221
502,2,0.15576
502,3,0.155404
502,4,0.144613
502,5,0.145297
502,6,0.158528
502,7,0.156949
502,8,0.155609
502,9,0.15447
502,10,0.153497
502,11,0.152664
502,12,0.151945
502,13,0.146903
502,14,0.145876
